Резюме,Профессия,Обязанности,predict
804,научный сотрудник,"закладка и проведение полевых и вегетационных опытов, сбор и анализ первичной информации, а также матиматическая её обработка, проведение  химических анализов в аналитической  лаборатории, составление научных отчетов и публичный доклад на учёном совете, написание и публикация статей в рецензируемых и иных изданиях. ведение отдельной научной тематики в области химической защиты винограда","директор (генеральный директор, управляющий) предприятия"
804,агроном-консультант,"агроконсультационные услуги клиентам, поддержка менеджеров, активные продажи средств защиты растений, удобрений и агрохимикатов, составление схем защиты по всем возделываемым в крае культурам, проведение демонстрационных испытаний пестицидов, участие и организация выставок, дней поля, семинаров",консультант по налогам и сборам
804,агроном-консультант,"агроконсультационные услуги клиентам, поддержка менеджеров, активные продажи удобрений и агрохимикатов, участие и организация выставок, дней поля, семинаров для фермеров",консультант по налогам и сборам
804,старший агроном,"организация и производство декоративных культур, тепличных комплексов и открытого грунта, расширение ассортимента продукции, составление рецептов грунта и торфосмесей",агроном
804,младший научный сотрудник,"закладка и проведение полевых и вегетационных опытов, сбор и анализ первичной информации, а также матиматическая её обработка, проведение  химических анализов в аналитической  лаборатории, составление научных отчетов и публичный доклад на учёном совете, написание и публикация статей в рецензируемых и иных изданиях.","директор (генеральный директор, управляющий) предприятия"
805,директор филиала,"Работа с персоналом, уход за животными, реклама",директор типографии
806,инженер-механик,"Обеспечение исправности техики, обеспечение документации",механик
806,инженер пл эксплуатации техники,"Выпуск техники на линию, обеспечение документации для эксплуатации техники",инженер по эксплуатации мелиоративных систем
806,механик,Обеспечение ремонта и выпуск техники на линию,механик
806,инженер по сервису,Обеспечение ремонта и выпуск техники на линию,инженер
807,технический директор,"Поиск и разработка современных, инновационных технологий в сельском хозяйстве.",директор типографии
807,техник,"Разработка новых артикулов кож, контроль качества, учет расхода сырья и материалов, поиск современных и эффективных химических материалов",техник
808,инженер-аналитик,"Входной контроль качества зерна,сырья поставляемого для производства гранулированных кормов для с/х животных.Техно-химический контроль качества готовой продукции.Контроль за ветеринарно-санитарным состаянием элевотора,производственных помещений, и территории предприятия.Проведение внутренних аудитов и поддержание в рабочем состоянии СМКБПП  предприятия.Организация работы лаборатории. Ведение учетной и отчетной документации.Взаимодействие с надзорными органами.",аналитик
808,начальник производственно-технологической лаборатории,"Входной контроль качества кормов,сырья и вспомогательных материалов.Контроль качества готовой продукции.Контроль за санитарным состоянием и качеством дезинфекции объектов предприятия.Отбор проб,проведение лабораторных исследований. Соблюдение стандартов и проведение внутренних аудитов по системе контроля качества ISO22000.Ведение программы производственного контроля предприятия. Взаимодействие с надзорными органами.Разработка нормативной документации и внедрение новых позиций ассортиментного ряда,с последующим получением протоколов испытаний и деклараций соответствия.Организация работы производственной лаборатории.Ведение учётной и отчётной документации.",начальник производственной лаборатории (по контролю производства)
808,государственный ветеринарный инспектор фс,"Контроль качества, подконтрольных  Госветнадзору грузов,зерна и фуража, при  транспортировке, хранении ,погрузке, выгрузке. Контроль  за соблюдением ветеринарно-санитарных норм и правил. Работа с законодательством РФ в области ветеринарии, с ГОСТ-ми Сан Пин-ами на зерно предназначенное для кормовых целей. Ведение отчётной документации.",государственный ветеринарный инспектор
808,государственный ветеринарный врач,"Ветеринарно-санитарная экспертиза продуктов животноводства, сырья и готовой продукции. Контроль за соблюдением ветеринарно-санитарных норм и правил,условий размещения, хранения, транспортировки закупаемого сырья и готовой продукции.Ветеринарно-санитарный контроль производственного процесса на мясоперерабатывающем предприятии. Работа с документами удостаивающими качество и безопасность продовольствия.Проведение дезинфекционных мероприятий. Выдача ветеринарно-сопроводительный документов.",ветеринарный врач
808,начальник лаборатории-ветеринарный врач,"Контроль качества поставляемого, закупаемого и хранящегося продовольствия, предназначенного для нужд Министерства Обороны РФ, на предмет соответствия ГОСТ, Сан Пин, законодательства РФ. Работа с документами удостаивающими качество и безопасность продовольствия. Контроль за соблюдением ветеринарно-санитарных норм и правил при приёмке, размещении, хранении,выдаче и транспортировке продовольствия.Отбор проб,органолептические,физико-химические лабораторные исследования.Ведение необходимой документации.Организация взаимодействия с надзорными органами и аккредитованными лабораториями. Составление отчётной документации.",ветеринарный врач
808,начальник аптеки,"Учёт,хранение,выдача медикаментов.Ведение отчётной документации.Контроль норм хранения и размещения.Оформление и выдача мединских полюсов.",заведующий ветеринарной аптекой
809,ветеринарный врач,"Постановка серологических реакций 
Пользователь меркурий хс 
Ведение документации",ветеринарный врач
809,кинолог ,Обучение собаки,"директор (генеральный директор, управляющий) предприятия"
809,ветеринарный врач,"Контроль качества, документация, лабораторные исследования",ветеринарный врач
810,главный агроном,"Управление технологическим процессом выращивания томата и огурца на минеральной вате. Площадь 7,5га из них0,6га рассадное отделение.Руковожу коллективом 120человек.Отвечаю за выполнение показателей производственного плана, качество продукции. Глубоко знаю вопросы агрохимии и питания растений,защиту растений химическую и биологическую.Много лет работал с Голландскими системами управления микроклиматом PRIVA и ХОРТИМАКС.Неоднократно посещал теплицы Голландии, Финляндии , Польши, Чехии.",главный агроном
810,главный агроном,"Организация производства, управление персоналом, минимизация производственных затрат, выращивание продукции высокого качества в запланированных количествах. На площади 3га выращиваем огурец, помидор, салат. За последний сезон собрали 107кг скв.м огурца, 58кг с кв.м помидора, с площади 0,4га -1000000шт. салата за 10месяцев. Управление технологическими процессами в теплице происходит с помощью системы управления Хортимакс-Голландия. Полностью за результаты производства несет ответственность главный агроном.",главный агроном
810,главный агроном,"Организация и руководство трудовым коллективом в количестве 60человек. Управление технологическим процессом, минимизация производственных затрат для получения высоких результатов рентабельности. На площади 4га на кокосовом субстрате выращивали Биф томат и достигли результата 53кг с кв.м. Управление технологическим процессом и микроклиматом в теплице осуществлялось с помощью голландской системы PRIVA. Защита растений происходила с помощью биологических препаратов, без использования пестицидов.",главный агроном
810,главный агроном,"Управление персоналом 140 Выращивание томата на площади 4гектара методом малообьемной культуры на кокосовом субстрате. Управление микроклиматом в теплице, поливами с помощью системы PRIVA Гоппандия. При вырашивании  томата без досвечивания был достигнут результат по урожайности 53кг с квадратного метра.На площади 3гектара выращивали огурец-урожайность 34кг с кв.м за первый культурооборот-4месяца и 14кг с кв.м осенний культурооборот-2,5месяца.",главный агроном
810,"бригадир отделения, агроном по питанию, с1987г главный агроном","Организация работ по выращиванию овощей на почве.С наименьшими затратами на производство добивались рентабельност.и 150% на огурцах и 120% на томатах. Достигали по урожайности 32кг с кв.м огурца за 4месяца и 26кг с кв.м томата также за 4 месяца. Остальное время это осенний короткий культурооборот. Руководил подразделением в количестве 120человек. Тепличное хозяйство площадью 7,5га.",главный агроном
811,оператор водоподготовки,Лучшии оператор,оператор сушильных установок
811,помощник бурильщика крс,Капитальный ремонт скважин,помощник флориста
811,директор филиала,"Обязанности:
Руководил фирмой по поставке различной продукции
Достижения:
Открыл свою фирму, работал с договорами и контрактами между организациями на поставку различных продукции и деталей.
",директор типографии
811,аппаратчик химического производства 6 разряда ,"Обязанности:
Контроль за персоналом и соблюдение внутренней дисциплины, ведение отчётности и контроль режима производства. В ночные смены ответственный за весь рабочий персонал и рабочий цех.
Достижения:
Руководил персоналом во время останова цеха на ремонт и пуск цеха после останова в работу, выводил цех в режим работы.
За время работы прошёл обучение на руководящую должность, исполнял обязанности технолога цеха.
Принимал участие во внедрение новшества в цех (узел ингибирования), за что был поощрён денежной премии.",инженер по подготовке производства
811,аппаратчик химического производства 5 разряда ,"Обязанности:
Обеспечение непрерывного производства каучука, введение и контроль технологическим процессом.
Достижения:
За год изучил цех по производству бутадиен-стирального каучука. На конкурсе завода лучший аппаратчик-оператор занял первое место.",инженер по подготовке производства
812,главный специалист по технологиям питания и защиты растений,"Формирование плана, исполнение и контроль за качеством по использованию минеральных удобрений и средств защиты растений в полевых севооборотах с картофелем, зерновыми, рапсом, соей и кукурузой.",агроном по защите растений
812,главный специалист агрономического отдела,"Совершенствование технологии возделывания картофеля для производства обжаренных продуктов, изучение перспективных сортов картофеля и овса, закупки средств защиты растений и удобрений в подразделения холдинга (Вологодская и Рязанская области). Технологический контроль в производстве. Обучение агрономического персонала.",главный металлург
812,технический директор,"Изучение рынка, продажа средств защиты растений, семян и удобрений. Работа с ключевыми партнерами в области свекловодства, пивоваренных ячменей, овса на пищевые цели, рапса. Оказание консультационных Услуг по Договорам с сельскохозяйственными холдингами,",директор типографии
812,заместитель  директора сельскохозяйственного департамента,"Организация работы филиалов компании (маркетинг, реклама, демонстрационные испытания и продажа средств защиты растений)",финансовый директор (заместитель директора по финансам)
812,"заместитель  главы представительства фирмы ""агро-кеми"" (венгрия)","Организация продаж средств защиты растений в РФ, руководство техническими бюро(филиалами) компаниями. Участие в инвестиционной компании венгерского Торгпредства в России.",финансовый директор (заместитель директора по финансам)
813,главный агроном,"Разработка и внедрение технологий по борьбе с вредителями, болезнями растений и сорняками, разработка планов, календарных графиков по уходу за посевами.",главный агроном
814,бетонщик-арматурщик,В настоящее время работаю не по специальности!!!,бетонщик
814,водитель погрузчика,Работал водителем погрузчика и осуществлял перемещение грузов и погрузка горной породы.,водитель погрузчика
814,водитель погрузчика,С 1.10.2010 работал водителем погрузчика на заводе ЖБИ.Перемещение грузов.,водитель погрузчика
814,тракторист-машинист,С 1993 г. работал в ОАО АгроХлебоПродукт трактористом по 24.09.2010.,тракторист
815,агроном территории,Контроль качества всех технологических процессов и фитосанитарного состояния посевов,уборщик территорий
815,заведующий лабораторией,"Урожайность, автор 3 сортов и 2 гибридов культурной конопли, защита кандидатской диссертации, грамота академии с/х наук.",заведующий канцелярией
816,машинист экскаватора,Работа на экскаваторе погрузчике,машинист экскаватора
816,механизатор,"Быстро обучаюсь и привыкаю к технике,навыки обслуживания и ремонта имеются",механизатор (докер - механизатор) комплексной бригады на погрузочно-разгрузочных работах
817,агроном,Выращивание с/х культур,агроном
818,инженер по гарантии,"Инженер по гарантии. Вёл документацию по гарантийным случаям. А так же оформлял документа оборот работы сервиса, АКТЫ, НАРЯДЫ, ДОГОВОРА, ЗАЯВКИ и тп.",инженер
818,инженер-механик,"Инженер механик- инженер по выпуску. Вёл складское дело, снабжение (Заведующий склада запчастей и ГСМ). Организовывал без прерывную работу сельхоз техники в сезон.",механик
818,мастер приёмщик,"После первого месяца работы мастером приёмщиком на сервис. Был переведён в сервис, МАСТЕРОМ-РЕМЗОНЫ. В обязанности входило: организационные вопросы по работе в сервисе. Исполнял обязанности Менеджера по запчастям и инструменту.",мастер участка
818,инженер отк,"Инженер по качеству. Контроль сборки КОМБАЙНОВ на конвейере. Контроль комплектующих агрегатов, узлов, запчастей (занимался оформлением брака). Работа в коллективе.",инженер
819,главный инженер,"Заключение договоров поставки запчастей, оборудования и ГСМ. Контроль исполнения правил Пром безопасности. Контроль за соблюдением сроков экспертиз и лицензий, управление коллективом 50 чел.",главный инженер
819,заведующий складами,"Составление отчетов по реализации, контроль приемки и отгрузки удобрений, составление планов работ бригад фасовки приемки и отгрузки удобрений.",заведующий складом
819,мастер по учету газа,"Контроль по учету газа предприятиями и населением, формирование платежных документов, контроль оплаты.",экономист по бухгалтерскому учету и анализу хозяйственной деятельности
819,специалист по организации работ вахтовым методом,Организация и документальное оформление групп для работ в других регионах РФ,инженер по организации труда
819,командир понтонной роты,сплошные обязанности,"директор (генеральный директор, управляющий) предприятия"
819,инженер по реализации с/х продукции,Организация и контроль сбыта с/х продукции,инженер
819,студент,Студент,"директор (генеральный директор, управляющий) предприятия"
820,ветеринарный врач,Выполнение ветеринарного законодательства. Контроль и своевременное выявление заболеваний. Профилактика и лечение.,ветеринарный врач
820,"ветеринарный врач молодняка,главный вет.врач",Профилактика лечение заболеваний их не допущение. Своевремменое выявление и лечение животных. Контроль и выполнение всех норм вет.сан.мероприятий на производстве.,главный ветеринарный врач
821,личный семейный водитель,Водитель механик,водитель аэросаней
821,оператор погрузчика,"Складская логистика, разгрузка , погрузка и перемещение грузов по складу на вилочном погрузчике.",водитель погрузчика
821,механик водитель,"Обслуживание частной дороги и прилегающих подъездов к зданиям и сооружений в горной местности , работа водителем погрузчика , телескопического погрузчика  , механиком водителем специальной техники, работа с навесным оборудованием (водяной насос с рейкой высокого давления , отвал , рушилка для соли , небольшой ремонт . ",водитель аэросаней
821,глава фермерского хозяйства,"Ведение фермерского хозяйства , работа по откорму КРС .Работа водителем , трактористом машинистом , работа на спец технике,заготовка ,погрузка и перевозка грубых кормов механическим способом . Ремонтые работы спец техники навесного оборудования, сварочные работы , слесарные работы .столярные работы. Закупки инвентаря .Управление наемным рабочим персоналом организация работ.",заведующий хозяйством
821,водитель разнорабочий,"Работа в фермерском хозяйстве ,работа в производстве и откорму КРС, реализация продуктов производства,работа с молочным стадом , работа водителем ,трактористом машинистом , работа на спец технике,заготовка ,погрузка и перевозка грубых кормов механическим способом . Ремонтые работы спец техники навесного оборудования, сварочные работы , слесарные работы ,столярные работы, закупки .",водитель аэросаней
821,диджей звукооператор ,"Диджей , звукооператор , звуковое сопровождение мероприятий , монтаж демонтаж оборудования , доставка аппаратуры до места проведения мероприятия, установка аппаратуры в зависимости от акустических свойст зала ,настройка световой аппаратуры.","директор (генеральный директор, управляющий) предприятия"
821,старший слесарь шиномонтожа,"Слесарь шиномонтажа .Слесарные работы, переустановка шин, балансировка колёс , мелкий ремонт , замена расходных материалов , техническое обслуживание автомобилей .
",слесарь по обслуживанию и ремонту оборудования
821,разнорабочий,"Разнорабочий , разгрузочно погрузочные работы с применением физической силы, торцовка укладка обрезной доски в палет с последующей обвязкой.","директор (генеральный директор, управляющий) предприятия"
822,эксперт,"Аккредитованный эксперт в области семеноводства, Апробация плодово-ягодной продукции, отбор проб, работа с документацией",эксперт
823,ветеринарный врач,"Прием больных животных, ведение  электронных карт с назначением лечения Вакцинации,  чипирование  ,мелкая хирургия, забор материала  для лабораторных исследований ,читка результатов анализов
 работа в  отделении интенсивной терапии. Оказание ветеринарной помощи пациенту с выездом на дом.  ",ветеринарный врач
823,стажёр хирургического отделения .,"Ведение злектронных карточек пациентов. . Выполнение назначений ветеринарного врача. 
 (инъекции  п / к , в/м, в/в),постановка  катетеров, перевязки, обработка ран, швов, подготовка к операциям, помощь врачу при  операциях , забор материала  для лабораторных исследований.
 Обеззараживание инструментов и помещения.","управляющий отделением (фермой, сельскохозяйственным участком)"
823,ассистент ветеринарного врача,"В обязанности входило- помощь на  приеме животных, проведение всех  видов  иньекций ,постановка капельниц и катетеров.  Забор проб  для лаборного анализа.  Проведение процедур ,назначенных врачом , помощь при операциях  стерилизация инструментов,  а также проводить дезинфекцию помещений,работа в стационаре, уход за животными ,в зоогостинице.",ветеринарный врач
823,главный  ветеринарный врач колхоза.,"В мои обязанности входило- обеспечить надлежащую организацию работы ветеринарной службы, разрабатывать планы профилактических и оздоровительных противоэпизоотических и лечебно-профилактических мероприятий, осуществлять  ветеринарно-санитарный контроль за живот­ными, помещениями животноводческих ферм , зверофермы птицефермы. Мои достижения заключались в том ,что во время моей работы на должности ветеринарного врача колхоза не было допущения вспышек инфекционных заболеваний животных а так же снизился падёж скота в вверенном мне хозяйстве.",главный ветеринарный врач
824,производитель работ по спецработам,"Руководство бригадами по монтажу и пуско-наладке систем электроснабжения, автоматики, связи, электрохимзащиты и прочих при строительстве газопроводов-отводов, ГРС и домиков оператора. ",производитель работ (прораб)
824,производитель работ (пнр),"Организовывал и контролировал работы по автоматике, связи, электроснабжению, ИТСО на строительстве и запуске ГРС ""Тымовская"", Сахалин.
Участвовал в настройке оборудования:
- маршрутизаторы Huawei, радиорелейные станции NEC iPasolink, коммутаторы Eltex, ip-телефоны, УДКС, ИБЭП Форпост
- САУ ГРС СТН-3000, ЭКМ, датчики, реле и т. п.
- Расходомеры Flowsic, FloBoss
- Шкафы управления, ДГУ и пр. оборудование БКЭС Озерского завода
- видеокамеры, регистраторы LTV, охранная, пожарная сигнализация Болид",производитель работ (прораб)
824,мастер,"Организация работ по монтажу слаботочных систем на строительстве Амурской ТЭС (Амурский ГПЗ)
1. Осуществлял руководство работами по монтажу инженерно-технических средств охраны (ИТСО) СКУД Elsys-Бастион-2, СОТ Интеллект, ПОС Forteza (Зебра-60)
2. Производил ПНР, участвовал в формировании исполнительной документации и сдаче заказчику/генподрядчику (Газпромэнергохолдинг/ТЭК Мосэнерго) систем ИТСО
3.Проводил внедрение, обучение, обслуживание, техническую поддержку специалистов отдела безопасности генподрядчика.
4. Руководил работами по монтажу систем связи и СКС. Производил ПНР, участвовал в формировании исполнительной документации и сдаче заказчику/генподрядчику (Газпромэнергохолдинг/ТЭК Мосэнерго) систем связи.
5. Организовывал работы, руководил бригадами по монтажу пожарной сигнализации (АПС) и противопожарной автоматики.",мастер участка
824,прораб,"Организация работ по противопожарной защите торговых, складских и производственных объектов. (Модернизация логистического центра ""Магнит""а в г. Тверь, Строительство супермаркета ""Лента"" в Петербурге)
1. Руководил работами по монтажу систем пожарной сигнализации и противопожарной автоматики (Болид, Рубеж)
2. Организовывал монтаж систем пожаротушения (сплинкерные, дренчерные) на оборудоавании ЗАО «ПО «Спецавтоматика» г. Бийск
3. Руководил работами по огнезащите металлоконструкций.",производитель работ (прораб)
824,начальник участка,"1. Начальник участка на объекте ""Морозовская детская больница"" - субподряд у ЗАО ""ИЦ ГОЧС ""БАЗИС"" по системам мониторинга и связи СМИС, СМИК, СУКС.

- руководство монтажными бригадами;

- организация поставок материалов и оборудования;

- учет выполненных объемов, испытания и оформление приемо-сдаточных документов

2. Начальник участка на объекте ""Саяно-Шушенская ГЭС"" по системам автоматизации мониторинга гидротехнических сооружений на оборудовании Campbell

Scientific .

- организация бытовых условий и мест хранения материалов

- разработка и согласаование проекта производства работ;

- организация рабочих мест, поставок материалов и оборудования, ;

- оформление ежедневного допуска, общее руководство монтажными бригадами;

- взаимодействие с заказчиком и смежными подрядчиками;

- учет выполненных объемов, испытания и оформление приемо-сдаточных документов",начальник цеха (участка)
824,инженер асутп,"Главный специалист по слаботочным системам на объекте ""Рокский тоннель"" (вахтовый метод)



https://www.1tv.ru/news/2014/11/05/28441-avtomobilnyy_tonnel_mezhdu_rossiey_i_yuzhnoy_osetiey_otkrylsya_posle_masshtabnoy_rekonstruktsii



- Руководство монтажом и пуско-наладка системы видеонаблюдения на оборудовании ""Panasonic"" (более 200 видеокамер, в том числе с устройствами омывания гермокожухов, 16 регистраторов, 10 км. оптоволоконного кабеля, 5 пунктов наблюдения, 4 шкафа активного оборудования).

- Руководство собственными бригадами и субподрядчиками по монтажу ОПС и СКУД на оборудовании ""Securiton"" (более 1000 извещателей, 8 км. сенсорного кабеля, 16 шкафов активного оборудования).

- Монтаж системы диспетчеризации и АСУ ТП (дистанционное и автоматическое управление освещением, климатом, электропитанием на контроллерах Modicon Schneider Electric).

- Монтаж и пуско-наладка систем связи и громкоговорящего оповещения.

- Монтаж оборудования центра диспетчерского управления.

- Монтаж и пуско-наладка системы резервированного электропитания (EATON Powerware).

- Системы информирования о дорожной обстановке, контроль и учет движения автотранспорта.

- Подготовка форм КС-2 и КС-3, работа с проектировщиками по корректировке и устранению ошибок проекта.",инженер
824,предприниматель,"Проектирование и монтаж кабельных систем. 

Спроектировал и смонтировал кабельные системы на объектах федерального девелопера ""Брусника""(""Партнер инвест"").

 - СКС Hyperline, AMP Netconnect

 - Силовая электропроводка и электроосвещение, системы бесперебойного питания Powerware

 - системы видеонаблюдения, в том числе интеллектуальные от компании ISS 

 - ОПС ""Болид"", ""Рубеж"" 

- СКУД  Perco

- оборудование переговорных комнаты системой видеоконференцсвязи","директор (генеральный директор, управляющий) предприятия"
824,системный администратор,"Техническая поддержка сети магазинов. Организация каналов связи. Сопровождение ПО 1С Торговля и склад 7.0 (конфигурация собственной разработки) Обслуживание торгового оборудования. Обслуживание системы видеонаблюдения. Обучение пользователей. 

Осуществлял круглосуточную техническую поддержку путем:

- телефонных консультаций,

- удаленного (через интернет) подключения к компьютерам магазина,

- выезд на магазин в случае аварии,

- 2 раза в неделю проводил плановый объезд и профилактику оборудования.

Осуществлял резервное копироваие/восстановление базы данных (MS SQL Server)

За время работы ""с нуля"" открыл и настроил оборудование, организовал каналы связи в 22 новых магазинах. Один обслуживал 17 действующих магазинов за 1,5 года работы  не было случаев простоя магазина из-за неисправности оборудования.",администратор
